Name,Score,Review,Link,Addr
용천칡냉면,5.0,3,https://place.map.kakao.com/814844894,"
서울 양천구 월정로17길 3 1층
(지번) 신월동 236-9
"
신나주곰탕설렁탕&냉면,0.0,0,https://place.map.kakao.com/696918958,"
서울 강서구 곰달래로 138
(지번) 화곡동 897-16
"
함흥면가,0.0,0,https://place.map.kakao.com/156624552,"
서울 관악구 봉천로 209
(지번) 봉천동 729-22
"
천지면옥,2.5,42,https://place.map.kakao.com/1120797404,"
서울 영등포구 국회대로 800 여의도파라곤 1층 101~103호
(지번) 여의도동 13
"
평래옥 여의도직영점,2.4,6,https://place.map.kakao.com/497010494,"
서울 영등포구 국제금융로2길 24 BNK금융타워 2층 3,4호
(지번) 여의도동 23-10
"
칠보면옥 여의도전경련회관점,4.0,3,https://place.map.kakao.com/1132504918,"
서울 영등포구 여의대로 24
(지번) 여의도동 28-1
"
평양관,3.7,46,https://place.map.kakao.com/370214335,"
서울 영등포구 국제금융로 112 상아빌딩 지하 1층 5,6호
(지번) 여의도동 53-11
"
모래내냉면,0.0,0,https://place.map.kakao.com/27381831,"
서울 관악구 신림로66길 12
(지번) 신림동 1421-60
"
냉면돈까스먹고갈래,0.0,0,https://place.map.kakao.com/118589039,"
서울 강서구 곰달래로 138
(지번) 화곡동 897-16
"
청수냉면,0.0,0,https://place.map.kakao.com/13293885,"
서울 양천구 목동서로 57 현대파리지앙1층
(지번) 목동 907-10
"
가평 잣냉면 보라매동점,0.0,0,https://place.map.kakao.com/13305338,"
서울 관악구 보라매로2길 2
(지번) 보라매동 703-23
"
막불감동 본점,0.0,0,https://place.map.kakao.com/1357474150,"
서울 관악구 남부순환로 1599 지하1층
(지번) 신림동 1433-60
"
철우냉면,5.0,0,https://place.map.kakao.com/15797987,"
서울 영등포구 선유로47길 16
(지번) 양평동4가 81
"
산천칡냉면 1996,2.3,0,https://place.map.kakao.com/1958046384,"
서울 관악구 문성로38길 6
(지번) 신림동 1633
"
냉면엔고기어때 금천점,0.0,0,https://place.map.kakao.com/557152707,"
서울 금천구 시흥대로54길 32 1층
(지번) 시흥동 887
"
판동면옥 여의도점,4.5,25,https://place.map.kakao.com/160976068,"
서울 영등포구 은행로 37
(지번) 여의도동 13
"
을밀대 본점,4.1,761,https://place.map.kakao.com/25048467,"
서울 마포구 숭문길 24
(지번) 염리동 147-6
"
가평잣냉면 서원동점,0.0,0,https://place.map.kakao.com/13301682,"
서울 관악구 신림로59길 15-16
(지번) 서원동 1638-12
"
심가면옥,3.0,11,https://place.map.kakao.com/16527144,"
서울 관악구 신림로 121
(지번) 신림동 269-9
"
왕세숫대야냉면돈까스,3.9,28,https://place.map.kakao.com/16878058,"
서울 강서구 공항대로 423
(지번) 등촌동 655-37
"
대호정갈비냉면,0.0,0,https://place.map.kakao.com/262954376,"
서울 금천구 시흥대로52길 51
(지번) 시흥동 889-2
"
왕냉면앤왕돈가스 역곡점,2.1,2,https://place.map.kakao.com/15672508,"
경기 부천시 경인로 536
(지번) 괴안동 168
"
평양냉면 대동관 강서점,3.5,21,https://place.map.kakao.com/26779187,"
서울 강서구 우장산로 120 1,2층
(지번) 화곡동 1103
"
송주불냉면 옥길점,0.0,0,https://place.map.kakao.com/691620545,"
경기 부천시 양지로 205 145-6호
(지번) 옥길동 793-2
"
아소정,3.5,255,https://place.map.kakao.com/7990640,"
서울 마포구 백범로25길 9
(지번) 염리동 149-9
"
봉천함흥냉면,3.5,11,https://place.map.kakao.com/303545597,"
서울 관악구 은천로2길 35
(지번) 봉천동 951-23
"
능라도 마포점,2.9,17,https://place.map.kakao.com/1305698221,"
서울 마포구 마포대로 25
(지번) 마포동 33-1
"
명가냉면,3.4,25,https://place.map.kakao.com/16073611,"
서울 강서구 화곡로 277 경일빌딩 1층
(지번) 화곡동 986-16
"
제주산방식당 오투테라스점,2.3,12,https://place.map.kakao.com/2106014799,"
서울 영등포구 의사당대로 83 오투타워 지하1층 B104호
(지번) 여의도동 23-6
"
능라도 마곡점,3.3,98,https://place.map.kakao.com/1663795948,"
서울 강서구 마곡동로 56 건와빌딩 2층 202,203호
(지번) 마곡동 797-6
"
손선호 웰빙 함흥냉면,3.6,14,https://place.map.kakao.com/16476458,"
경기 부천시 경인로 492
(지번) 괴안동 109-4
"
육쌈냉면 역곡점,1.7,10,https://place.map.kakao.com/19478827,"
경기 부천시 부일로 743
(지번) 역곡동 82-8
"
